HostnameLookups,KeepAlive,EnableSendfile,FollowSymLinks,AccessLog,ExtendedStatus,InMemory,Handle,PERF
0,0,0,0,0,0,0,0,1200
0,1,0,1,0,0,0,0,2100
0,1,1,0,0,1,1,0,2310
0,0,1,0,1,0,1,0,1260
0,0,1,0,1,1,1,0,1140
0,1,1,0,1,0,1,0,2100
0,1,1,0,1,1,1,0,1980
1,0,1,0,0,0,1,0,1110
1,1,1,0,0,0,1,0,2160
1,0,1,0,1,0,1,0,990
1,1,1,0,1,0,1,0,1890
1,0,1,0,0,1,1,0,1020
0,0,0,1,1,0,0,0,1020
1,0,1,0,1,1,1,0,960
1,1,1,0,0,1,1,0,2160
1,1,1,0,1,1,1,0,1860
0,0,1,1,0,0,1,0,1470
0,1,1,1,0,0,1,0,2640
0,0,1,1,0,1,1,0,1380
0,1,1,1,0,1,1,0,2430
1,0,1,1,0,0,1,0,1140
1,0,1,1,0,1,1,0,1080
1,1,1,1,0,0,1,0,2340
0,1,0,1,1,0,0,0,1830
1,1,1,1,0,1,1,0,2190
0,0,1,1,1,0,1,0,1260
0,1,1,1,1,0,1,0,2190
1,0,1,1,1,0,1,0,1020
1,1,1,1,1,0,1,0,2100
0,0,1,1,1,1,1,0,1230
1,0,1,1,1,1,1,0,990
0,1,1,1,1,1,1,0,2070
1,1,1,1,1,1,1,0,1860
0,0,0,0,0,0,0,1,1230
0,0,0,1,0,1,0,0,1140
0,0,0,0,0,1,0,1,1080
0,0,0,0,1,0,0,1,1050
0,0,0,0,1,1,0,1,1080
0,0,0,1,0,0,0,1,1260
0,0,0,1,1,0,0,1,1200
0,0,0,1,0,1,0,1,1200
0,0,0,1,1,1,0,1,1050
0,0,1,0,0,0,0,1,1200
0,0,1,0,0,1,0,1,1140
0,0,1,1,0,0,0,1,1200
0,0,0,1,1,1,0,0,990
0,0,1,1,0,1,0,1,1230
0,0,1,0,1,0,0,1,1110
0,0,1,1,1,0,0,1,1140
0,0,1,0,1,1,0,1,1050
0,0,1,1,1,1,0,1,1110
0,1,0,0,0,0,0,1,1200
0,1,0,0,0,1,0,1,1350
0,1,0,0,1,0,0,1,1230
0,1,0,0,1,1,0,1,1260
0,1,1,0,0,0,0,1,1290
0,1,0,1,0,1,0,0,1950
0,1,1,0,1,0,0,1,1020
0,1,1,0,0,1,0,1,1320
0,1,1,0,1,1,0,1,1230
0,1,0,1,0,0,0,1,1380
0,1,0,1,0,1,0,1,1110
0,1,1,1,0,0,0,1,1200
0,1,1,1,0,1,0,1,1110
0,1,0,1,1,0,0,1,1350
0,1,1,1,1,0,0,1,1200
0,1,0,1,1,1,0,1,1230
0,1,0,1,1,1,0,0,1740
0,1,1,1,1,1,0,1,1170
1,0,0,0,0,0,0,1,990
1,0,0,0,0,1,0,1,960
1,0,0,0,1,0,0,1,930
1,0,0,0,1,1,0,1,870
1,0,0,1,0,0,0,1,1020
1,0,0,1,1,0,0,1,930
1,0,0,1,0,1,0,1,960
1,0,0,1,1,1,0,1,900
1,1,0,0,0,0,0,1,1140
0,0,1,0,0,0,0,0,1320
1,1,0,0,0,1,0,1,1020
1,1,0,1,0,0,0,1,1320
1,1,0,1,0,1,0,1,1170
1,1,0,0,1,0,0,1,1200
1,1,0,1,1,0,0,1,1080
1,1,0,0,1,1,0,1,1140
1,1,0,1,1,1,0,1,1500
1,0,1,0,0,0,0,1,990
1,0,1,0,0,1,0,1,960
1,0,1,0,1,0,0,1,930
0,1,1,0,0,0,0,0,2220
1,0,1,0,1,1,0,1,870
1,1,1,0,0,0,0,1,1170
1,1,1,0,1,0,0,1,1080
1,1,1,0,0,1,0,1,1170
1,1,1,0,1,1,0,1,1470
1,0,1,1,0,0,0,1,1050
1,0,1,1,0,1,0,1,990
1,1,1,1,0,0,0,1,1050
1,1,1,1,0,1,0,1,1200
1,0,1,1,1,0,0,1,930
0,0,1,0,0,1,0,0,1230
1,1,1,1,1,0,0,1,1170
1,0,1,1,1,1,0,1,870
1,1,1,1,1,1,0,1,870
0,1,0,0,0,0,0,0,2040
0,1,1,0,0,1,0,0,2130
0,0,1,1,0,0,0,0,1350
0,0,1,1,0,1,0,0,1170
0,1,1,1,0,0,0,0,2370
0,1,1,1,0,1,0,0,2190
0,0,1,0,1,0,0,0,1170
0,1,1,0,1,0,0,0,1980
0,0,1,1,1,0,0,0,1200
0,1,1,1,1,0,0,0,2040
0,0,1,0,1,1,0,0,1080
0,0,0,0,0,1,0,0,1110
0,0,1,1,1,1,0,0,1110
0,1,1,0,1,1,0,0,1830
0,1,1,1,1,1,0,0,1890
1,0,0,0,0,0,0,0,990
1,1,0,0,0,0,0,0,1950
1,0,0,0,0,1,0,0,900
1,1,0,0,0,1,0,0,1830
1,0,0,0,1,0,0,0,900
1,0,0,0,1,1,0,0,840
1,1,0,0,1,0,0,0,1710
0,1,0,0,0,1,0,0,1920
1,1,0,0,1,1,0,0,1620
1,0,1,0,0,0,0,0,1050
1,1,1,0,0,0,0,0,2130
1,0,1,0,1,0,0,0,930
1,1,1,0,1,0,0,0,1890
1,0,1,0,0,1,0,0,960
1,0,1,0,1,1,0,0,900
1,1,1,0,0,1,0,0,2010
1,1,1,0,1,1,0,0,1770
1,0,0,1,0,0,0,0,960
0,0,0,0,1,0,0,0,1080
1,1,0,1,0,0,0,0,1950
1,0,0,1,0,1,0,0,930
1,1,0,1,0,1,0,0,1890
1,0,1,1,0,0,0,0,1080
1,0,1,1,0,1,0,0,990
1,1,1,1,0,0,0,0,2220
1,1,1,1,0,1,0,0,2070
1,0,0,1,1,0,0,0,900
1,1,0,1,1,0,0,0,1770
1,0,1,1,1,0,0,0,960
0,0,0,0,1,1,0,0,1020
1,1,1,1,1,0,0,0,1920
1,0,0,1,1,1,0,0,840
1,0,1,1,1,1,0,0,900
1,1,0,1,1,1,0,0,1680
1,1,1,1,1,1,0,0,1800
0,0,0,0,0,0,1,0,1410
0,1,0,0,0,0,1,0,2490
0,0,0,0,0,1,1,0,1290
0,1,0,0,0,1,1,0,2250
0,0,0,0,1,0,1,0,1260
0,1,0,0,1,0,0,0,1770
0,0,0,0,1,1,1,0,1140
0,1,0,0,1,0,1,0,2130
0,1,0,0,1,1,1,0,1980
0,0,0,1,0,0,1,0,1410
0,1,0,1,0,0,1,0,2400
0,0,0,1,1,0,1,0,1320
0,1,0,1,1,0,1,0,2190
0,0,0,1,0,1,1,0,1380
0,0,0,1,1,1,1,0,1230
0,1,0,1,0,1,1,0,2430
0,1,0,0,1,1,0,0,1680
0,1,0,1,1,1,1,0,2100
1,0,0,0,0,0,1,0,1110
1,1,0,0,0,0,1,0,2280
1,0,0,0,0,1,1,0,1020
1,1,0,0,0,1,1,0,2160
1,0,0,1,0,0,1,0,1140
1,0,0,1,0,1,1,0,1050
1,1,0,1,0,0,1,0,2280
1,1,0,1,0,1,1,0,2190
1,0,0,0,1,0,1,0,1020
0,0,0,1,0,0,0,0,1200
1,1,0,0,1,0,1,0,1980
1,0,0,1,1,0,1,0,1020
1,1,0,1,1,0,1,0,2070
1,0,0,0,1,1,1,0,930
1,0,0,1,1,1,1,0,960
1,1,0,0,1,1,1,0,1860
1,1,0,1,1,1,1,0,1920
0,0,1,0,0,0,1,0,1410
0,1,1,0,0,0,1,0,2460
0,0,1,0,0,1,1,0,1320
