HAVE_CRYPTO,HAVE_HASH,HAVE_REPLICATION,HAVE_VERIFY,HAVE_SEQUENCE,HAVE_STATISTICS,DIAGNOSTIC,PS1K,PS4K,PS8K,PS16K,PS32K,CS32MB,CS16MB,CS64MB,CS512MB,PERF
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.502896333
0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0.568212308
1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,3.267649641
0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0.53944459
1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,6.512719641
1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,5.856607385
1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,6.509292436
1,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,5.870778
1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,6.531094846
1,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,6.511661769
1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,5.870873872
1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,5.844916949
0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0.467633154
0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0.374817641
0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0.526568538
0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0.474230538
0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0.533739923
1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,6.541553205
1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,6.550136179
1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,5.863638538
1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,5.861659737
0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0.478926921
0,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0.528323051
1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,6.521982846
1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,2.032915385
1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,5.858542026
0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0.478703692
1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,6.530098564
0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0.53221559
1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,5.845517128
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.478544333
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,10.75622641
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.754641474
1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,10.92121623
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.501547205
0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0.386080632
0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.751386667
1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,10.7736279
1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,10.90934995
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0.510615487
1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,10.72498874
0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0.499134231
1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,10.73643292
0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0.756163308
0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0.742023821
1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,10.90294745
1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,2.084313769
1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,10.90541476
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.502242282
1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,10.73141864
0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.734729462
1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,10.89260928
0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0.501298128
0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0.741280897
1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,10.74257477
1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,10.91743365
0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0.503099026
0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0.526405769
1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,10.72920044
0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0.497255897
1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,10.72417242
0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0.747503103
0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0.747416211
1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,10.92490839
1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,10.90993634
0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0.508516763
1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,10.74750492
0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0.772647
0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0.577441077
1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,10.943653
0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0.510209459
0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0.771137872
1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,10.74499761
1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,10.92760941
0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0.512415421
1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,10.70295613
0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0.517968474
1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,10.70997069
0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0.750785795
0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0.376276605
0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0.76255841
1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,10.90099747
1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,10.91584941
0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0.520309923
1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,10.73978641
0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0.771518436
1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,10.93962545
0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0.520164128
0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0.756900763
1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,10.70720546
