"SamplingSize","SampleID","minsplit","minbucket","maxdepth","complexity","AvgSampleDistance","ValidError","GeneralizedError","ASEMeanError","ModelTime"
9,1,1,0,30,0.001,25.3333333333333,20.6171442936149,19.2358272410167,19.6515399050939,0.935053110122681
9,2,3,1,30,0.01,24.3333333333333,6.93210298473456,19.2346772813027,19.3956172734348,0.807046175003052
9,3,1,0,30,0.01,25.4166666666666,8.02579365079365,21.4315021829973,20.1856205282375,1.11406421661377
9,4,3,1,30,0.01,26.1666666666667,8.90863289760349,17.43942270546,21.2702039997751,0.743042230606079
9,5,1,0,30,0.001,25.0833333333333,17.7572829746743,45.393227894965,44.7672583631008,0.639037132263184
9,6,3,1,30,0.01,25.3333333333333,5.08534850640114,20.9803409430362,20.6026810485356,0.538030862808228
9,7,4,1,30,0.01,24.75,20.8852755194219,28.0549846324239,14.634147167514,0.698040008544922
9,8,5,2,30,0.01,24.5,45.625,26.8417461481098,27.3814954610871,0.381021976470947
9,9,3,1,30,1e-04,25.0833333333333,6.34224450013924,18.0850019434343,19.4947714859149,0.357020854949951
9,10,1,0,30,0.001,27.4166666666667,14.8038679073162,29.187383054061,28.4084348814377,0.503029108047485
9,11,3,1,30,0.01,26.5833333333333,6.60673337502606,19.186046084131,19.6604771323602,0.640036821365356
9,12,5,2,30,0.01,24.4166666666666,74.1491067971904,43.6309630840466,14.0468453979561,0.518029928207397
9,13,3,1,30,1e-04,24,13.1236678855726,45.3553742886806,43.8705188383837,0.582032918930054
9,14,4,1,30,0.01,25.3333333333333,16.5342617161889,33.1860721910833,46.7442658047014,0.541030883789062
9,15,5,2,30,0.01,26.25,38.6184073379195,33.4308140343074,15.1766357757186,0.591033935546875
9,16,5,2,30,0.01,24.25,50.020325203252,19.0642140273326,10.2052332414054,0.574032783508301
9,17,1,0,30,0.01,28.5833333333333,7.82690290887012,32.5285710682282,32.4097958696757,0.576032876968384
9,18,3,1,30,0.01,25.0833333333333,24.6911946911947,29.5337331623323,11.5533851006207,0.577033042907715
9,19,5,2,30,0.01,25.6666666666667,17.9214516184991,24.9875785384155,20.4333099586705,0.52603006362915
9,20,5,2,30,0.01,25.1666666666666,24.7249362581387,20.4681172376165,9.36802756842412,0.406023025512695
9,21,1,0,30,0.001,26.9166666666666,5.45536890645586,21.4306787559687,21.5336314333846,0.359020948410034
9,22,5,2,30,0.01,24.8333333333333,9.0356022019859,26.5518120692404,27.388436584206,0.356020927429199
9,23,1,0,30,0.001,24.6666666666667,38.3744855967078,33.412237715731,16.408623373142,0.510029077529907
9,24,4,1,30,0.01,25,7.91169700774221,22.0483510582749,19.6397857847328,0.585033893585205
9,25,1,0,30,0.01,26.5833333333333,20.698936416855,14.234705420701,24.2618907802736,0.595034122467041
9,26,1,0,30,1e-04,25.25,18.4516129032258,42.9310581312569,40.9749568769597,0.586034059524536
9,27,1,0,30,0.01,24.1666666666666,75.1836259971429,32.0478664878888,26.4329076876371,0.571032047271729
9,28,1,0,30,0.01,25.3333333333333,11.8709618709619,25.5451686544667,23.6673146084831,0.616034984588623
9,29,4,1,30,0.01,24.9166666666666,32.4959049142927,20.9613809595555,9.78599741317113,0.910051822662354
9,30,1,0,30,0.001,24.3333333333333,24.6342737722048,34.0318755386395,15.2664131021842,0.790045022964478
18,1,2,1,30,0.01,22.1666666666666,1.36986301369863,10.7869213207533,10.8047917039253,1.37507915496826
18,2,2,1,30,0.01,21.0196078431373,0.48780487804878,21.7953489871869,21.787025026821,1.65409517288208
18,3,2,1,30,0.01,18.8725490196078,0.704225352112676,8.098904259265,18.2502170650497,2.18512511253357
18,4,1,0,30,0.01,20.6078431372549,10.427807486631,31.4106048636671,16.3881976665685,1.59109091758728
18,5,4,1,30,0.001,23.2549019607843,0,31.8903508847308,34.3696262048722,1.55708909034729
18,6,2,1,30,0.01,21.1666666666667,1.25,8.38778226331574,8.20007223113686,0.972056150436401
18,7,8,3,30,0.01,19.3725490196079,4.13533834586466,9.9298298929886,8.18600982796772,1.87410688400269
18,8,11,4,30,0.01,19.4313725490196,2.10526315789474,21.6099444894092,20.0531791167786,1.97411298751831
18,9,7,2,30,0.01,18.6078431372549,3.65296803652968,25.6133490185112,21.5835813883911,2.00311398506165
18,10,2,1,30,0.01,19.1960784313726,1.58730158730159,11.1578078294878,17.9140622916038,1.41408109664917
18,11,2,1,30,0.01,20.7254901960785,2.56410256410256,7.10946842399224,7.63899655462569,1.28207397460938
