"SamplingSize","AvgSampleDistance","Dis_ConfInteval_95%","ValidError(%)","ValidError_ConfInteval_95%","GeneralizedError(%)","Error_ConfInteval_95%","ASEMeanError(%)","ASEError_ConfInteval_95%","ModelTime(S)","MTime_ConfInteval_95%"
"9","25.280303030303","0.370957488424961","21.1801134325208","5.94367134672615","27.1722428292514","2.96395251838815","22.4467117526106","3.39053030431457","0.594819775649479","0.0534985485919931"
"18","20.7927170868347","0.445417005862909","3.19794893826007","1.08125904836996","15.5687313535678","2.81136197764635","13.7187532023178","2.12553922258551","1.63016469989504","0.120678296287625"
"27","18.3296296296296","0.381615946738484","5.51856786117301","1.34513484777252","10.5761129332385","1.00032077687127","9.28718684259558","0.678721357764148","2.25420044149671","0.122221874798081"
"36","16.2164502164502","0.480492915125253","6.21300696299005","0.860007475442475","9.26727102802445","0.842416691822986","9.38062072970203","0.861319348035947","3.01177935089384","0.140729096897387"
"45","14.5529907084785","0.579059447447069","5.19061051834206","1.04334481434369","7.79570776498421","0.225668470456435","8.91169507886385","0.816851836600682","3.82639745303563","0.19577285933945"
"","","","","","","","","","",""
"Distance with Testing Error","","","","","","","","","",""
"Pearson's correlation","0.970515711979622","","","","","","","","",""
"SpearMan's correlation","1","","","","","","","","",""
"Validation with Testing Error","","","","","","","","","",""
"Pearson's correlation","0.869410484322533","","","","","","","","",""
"SpearMan's correlation","0.3","","","","","","","","",""
