"SamplingSize","AvgSampleDistance","Dis_ConfInteval_95%","ValidError(%)","ValidError_ConfInteval_95%","GeneralizedError(%)","Error_ConfInteval_95%","ASEMeanError(%)","ASEError_ConfInteval_95%","ModelTime(S)","MTime_ConfInteval_95%"
"18","1276.7244245522","0.728240450277645","10.7218817726187","6.902993812747","112.556700915625","37.6112586025301","122.651289681193","35.0740677267278","1.29003673129612","0.0645031228479893"
"36","1268.97334455691","0.644732578968425","10.100358946806","4.42100782405715","37.1457390443513","23.4979824133847","122.860164156895","27.0077325839629","2.50807193347386","0.0881157829895015"
"54","1260.57040816338","0.715653547465533","4.60753239553169","2.20940254464932","24.3671216609371","16.9084160697179","80.3372373737437","27.2184851934288","3.58824094704219","0.0758711374792413"
"72","1252.32197802198","0.650299960120566","3.83465977196432","1.42560198742401","6.73568362578189","1.21336312043247","61.479156029015","18.8657521897895","3.97308430501393","0.0686400791025363"
"90","1244.74999999989","0.673800889620674","3.25972667369463","1.05113655994757","4.41116806367899","0.986214300464621","69.0226836092777","17.5847629510862","5.02225005185163","0.598447469803533"
"","","","","","","","","","",""
"Distance with Testing Error","","","","","","","","","",""
"Pearson's correlation","0.879934575099372","","","","","","","","",""
"SpearMan's correlation","1","","","","","","","","",""
"Validation with Testing Error","","","","","","","","","",""
"Pearson's correlation","0.829467004451683","","","","","","","","",""
"SpearMan's correlation","1","","","","","","","","",""
