"SamplingSize","AvgSampleDistance","Dis_ConfInteval_95%","ValidError(%)","ValidError_ConfInteval_95%","GeneralizedError(%)","Error_ConfInteval_95%","ASEMeanError(%)","ASEError_ConfInteval_95%","ModelTime(S)","MTime_ConfInteval_95%"
"26","77.1414806547622","0.517855187097434","2.20250537180027","0.6068867469663","9.00432982094411","4.20801483611549","15.8401739300374","5.15426656710009","1.90003743341991","0.0632999522578769"
"52","65.7349037487331","0.562160135838273","1.21213672308402","0.24325880213125","2.20547855854845","0.145998995067551","2.9558972380849","0.0421437620948851","3.67885325636183","0.0856267779473676"
"78","52.9977531857812","0.413568470839226","1.0522467359454","0.20442977474167","2.00614984881636","0.142111883390711","3.0346981376963","0.0460392897435862","4.05612088132788","0.0624679226321352"
"104","41.6120472391084","0.411068649445844","1.17027041156557","0.107540802489224","1.72074719488437","0.0870410237848761","2.95218143144381","0.0640012427515553","4.08486323003416","0.0592125561239129"
"130","30.4038995726495","0.382177548051936","1.20378982421762","0.16352874383143","1.65566095471067","0.086772483864991","2.94965651020027","0.0774956806582952","4.3461412531989","0.0906075162719903"
"","","","","","","","","","",""
"Distance with Testing Error","","","","","","","","","",""
"Pearson's correlation","0.754590057944159","","","","","","","","",""
"SpearMan's correlation","1","","","","","","","","",""
"Validation with Testing Error","","","","","","","","","",""
"Pearson's correlation","0.986992767124014","","","","","","","","",""
"SpearMan's correlation","0.6","","","","","","","","",""
