"SamplingSize","SampleID","minsplit","minbucket","maxdepth","complexity","AvgSampleDistance","ValidError","GeneralizedError","ASEMeanError","ModelTime"
11,1,1,0,30,0.01,499.999999999984,4.41915123986599,6.68404775947517,6.49888384240391,0.517029047012329
11,2,1,0,30,0.01,497.499999999984,0.13226263580525,6.32224510782316,7.85403303989746,0.389021873474121
11,3,7,2,30,0.01,496.499999999984,0.63426617630145,6.01424510596354,4.80212866912535,0.376021146774292
11,4,2,1,30,0.01,497.699999999984,14.6274698475372,6.38400473958693,4.76359090362103,0.379021883010864
11,5,1,0,30,0.01,497.299999999984,2.23277400928253,6.66769671917575,4.50788773956719,0.37502121925354
11,6,2,1,30,0.01,497.499999999984,1.1801613385121,5.36616802442991,5.48122911304483,0.365020990371704
11,7,2,1,30,0.01,497.899999999984,0.111538972248042,4.32886628046221,5.18607173130446,0.380021095275879
11,8,1,0,30,0.01,495.599999999984,8.67150389694228,6.12131305408086,3.64315566642304,0.369020938873291
11,9,2,1,30,0.001,497.299999999984,0.74422096243962,5.80379904984502,5.88484973842128,0.370022058486938
11,10,7,2,30,0.01,496.899999999984,0.861204895547519,5.93312649895229,5.09513874731427,0.371021032333374
11,11,4,1,30,0.01,495.099999999984,3.20970851763647,4.52013601125302,7.08564849223662,0.373022079467773
11,12,4,1,30,0.001,497.599999999984,0.728566139525047,8.10505243443406,7.90985295412633,0.368021011352539
11,13,1,0,30,0.01,496.999999999984,6.0978615152238,6.12701754525339,6.95563994072385,0.392022132873535
11,14,1,0,30,0.01,497.699999999984,0.104570965850266,6.22614912272768,4.823801093281,0.373021841049194
11,15,3,1,30,0.01,496.099999999984,1.46746537352239,4.53607348125476,4.69711927030264,0.373022079467773
11,16,1,0,30,0.01,496.999999999984,11.8107311875139,6.17157449969143,6.87476764178152,0.373021125793457
11,17,1,0,30,0.01,496.599999999984,2.20611545001278,6.14876324735258,6.34012657057868,0.402023077011108
11,18,1,0,30,0.01,496.199999999984,0.301820284746408,6.57004996256719,5.85074644883939,0.379022121429443
11,19,2,1,30,0.01,496.999999999984,1.00535651799414,7.41515496013306,7.72627364973987,0.371021032333374
11,20,7,2,30,0.01,499.499999999984,3.94654374153363,6.42112444281096,7.26761256789496,0.368021011352539
11,21,5,2,30,0.01,495.599999999984,1.63046407589057,6.39424427701088,4.05888779115578,0.387022018432617
11,22,4,1,30,0.01,496.999999999984,3.66362125447908,5.88347753175042,6.73802080078986,0.362020015716553
11,23,2,1,30,0.001,497.599999999984,0.089365504914959,6.83836479242,6.81900750968608,0.381021022796631
11,24,2,1,30,0.01,497.799999999984,0.271020515431735,5.47593033758859,5.4641696947994,0.368021011352539
11,25,2,1,30,0.01,497.899999999984,2.7689570006291,3.43309779961933,3.33569351692504,0.365020990371704
11,26,1,0,30,0.01,497.399999999984,6.33854490037804,5.29845929637461,5.17086840518343,0.387022018432617
11,27,1,0,30,0.01,496.299999999984,6.84590517241388,6.4084128289588,6.3975304487917,0.371021032333374
11,28,2,1,30,0.01,496.799999999984,2.71226307167089,5.01165669805029,4.63610496531843,0.367021083831787
11,29,2,1,30,0.001,496.299999999984,6.92025589159159,7.24447589336491,7.65073770550175,0.408024072647095
11,30,1,0,30,0.01,496.199999999984,6.16737999604943,6.18433424582056,4.89722684623143,0.3630211353302
22,1,2,1,30,0.01,494.300000000024,8.46084565698245,4.95738337291296,5.60445690976488,0.761044025421143
22,2,10,3,30,0.01,492.050000000024,0.856931628240089,4.32148609292206,3.27078939045877,0.779045104980469
22,3,2,1,30,0.01,490.750000000024,8.13375812807183,3.48493355287726,3.12675087149553,0.748042821884155
22,4,8,3,30,0.01,493.300000000024,3.73147137679998,4.86031069866184,3.63866724182723,0.75904393196106
22,5,2,1,30,0.01,492.300000000024,1.1246882158516,4.07682560158418,6.22442275682558,0.759042978286743
22,6,2,1,30,0.01,491.550000000024,0.896152409397426,4.92662291743048,4.7947844698558,0.895051002502441
22,7,9,3,30,0.01,490.700000000024,0.835891707027868,8.87762616145788,7.62863679058673,0.735042095184326
22,8,2,1,30,0.01,491.800000000024,2.02115975586675,4.56224935332646,5.13086352373083,0.735042095184326
22,9,2,1,30,0.001,491.850000000024,0.757177552372667,3.15139144546598,3.18016039598108,0.765043973922729
22,10,1,0,30,0.01,493.750000000024,8.12174096705414,6.15915733821119,5.82572027339476,0.754043102264404
22,11,5,2,30,0.01,492.650000000024,1.77864274985412,4.1218736573795,4.17337222192645,0.750043153762817
22,12,2,1,30,1e-04,492.500000000024,1.92553475644956,5.26933858122958,5.0173254738699,0.755043983459473
22,13,1,0,30,0.01,491.550000000024,3.41920746001739,6.40870975488728,6.14709892863387,0.786044836044312
22,14,2,1,30,0.01,498.450000000024,0.766324232456728,3.64249414250553,4.12516031382756,0.742043018341064
22,15,2,1,30,0.01,493.250000000024,0.724029706410419,3.29987159923726,3.26580585528363,0.760043859481812
