"SamplingSize","AvgSampleDistance","Dis_ConfInteval_95%","ValidError(%)","ValidError_ConfInteval_95%","GeneralizedError(%)","Error_ConfInteval_95%","ASEMeanError(%)","ASEError_ConfInteval_95%","ModelTime(S)","MTime_ConfInteval_95%"
"11","497.099999999984","0.432429797090536","3.11372270353707","1.11970799832865","6.01788969693493","0.282724478089996","5.82754496549854","0.439091893698509","0.378116902850923","0.00504813952887923"
"22","492.380000000024","0.533897668097549","2.70422094219202","0.756808347544877","4.5805527695047","0.387139651638463","4.30100176638156","0.348181459516072","0.830566079528243","0.0361264963783306"
"33","486.468055555564","0.3599671525466","2.21133945696148","0.425640743865557","3.93839707134718","0.371669598657861","3.80994145008423","0.21037057601404","1.22541613762195","0.0246382631059082"
"44","481.813888888883","0.336561121364666","2.37023148799587","0.4570061705027","3.50762474532393","0.394734036577512","3.48409530302146","0.13542089839248","1.86666217556706","0.0803473076793161"
"55","476.737599999978","0.331105208077405","1.72285869432063","0.287884669162174","2.79406830781512","0.278534628454324","3.66376769686885","0.135435264648609","2.24944999388286","0.099416067269265"
"","","","","","","","","","",""
"Distance with Testing Error","","","","","","","","","",""
"Pearson's correlation","0.97224034626498","","","","","","","","",""
"SpearMan's correlation","1","","","","","","","","",""
"Validation with Testing Error","","","","","","","","","",""
"Pearson's correlation","0.954552078334916","","","","","","","","",""
"SpearMan's correlation","0.9","","","","","","","","",""
