"SamplingSize","SampleID","minsplit","minbucket","maxdepth","complexity","AvgSampleDistance","ValidError","GeneralizedError","ASEMeanError","ModelTime"
39,1,2,1,30,0.001,2272.56207877628,5.61854919119287,6.5565175678713,5.66777301289434,2.67215299606323
39,2,21,7,30,0.01,2265.28267670174,6.69012781094391,4.61360420679227,4.40183018074866,2.62114977836609
39,3,8,3,30,0.01,2266.78118485361,4.04719957221334,5.091441931222,5.17761601863915,2.4751410484314
39,4,32,11,30,0.01,2272.6618843701,2.42232318820493,4.49449991323892,4.86953333867874,2.4681408405304
39,5,14,5,30,0.01,2266.71817486356,3.84202010814973,4.99185548537257,5.47961945380122,2.49614310264587
39,6,20,7,30,0.01,2268.16821755435,4.7825117382974,5.54456275783097,5.93434354501444,2.48314189910889
39,7,1,0,30,0.01,2269.64166553065,5.31006758318861,4.37195159579787,5.16309596804137,2.46314096450806
39,8,32,11,30,0.01,2270.79623129992,1.86954818803589,4.82564353855142,4.90752986018388,2.72115588188171
39,9,17,6,30,0.01,2270.83658660217,5.27722220746951,4.64602725036465,4.46433077743613,2.43514013290405
39,10,35,12,30,0.01,2270.26563442597,9.94608907142528,4.47302046039952,5.29935475795356,2.61414909362793
39,11,3,1,30,0.01,2268.14727860698,0.445588702856536,5.72615397556989,4.81293654226861,2.41913819313049
39,12,26,9,30,0.01,2262.99881760415,3.20548340360725,4.5298214839277,4.93153289470358,2.43313908576965
39,13,3,1,30,0.001,2279.44600618921,3.25949538362796,6.91945496537191,5.34262833418616,2.45814108848572
39,14,35,12,30,0.01,2269.08103293813,3.04615288966777,4.43872968708467,5.32010452572205,2.45114088058472
39,15,6,2,30,0.01,2266.31387051364,2.79545172603231,4.75702745033712,4.70449094599478,2.47514200210571
39,16,2,1,30,1e-04,2277.00052751904,3.11604180946923,5.67258547403799,4.94130713932237,2.44213914871216
39,17,11,4,30,0.01,2280.66310236557,2.21924101581517,4.76983166297595,5.04629343759559,2.4421398639679
39,18,20,7,30,0.01,2265.26625823317,8.31946217857198,4.83314715027903,5.19773521962479,2.60914897918701
39,19,35,12,30,0.01,2270.69410852715,1.0955589629758,4.43443609769358,5.02631061343744,2.45813989639282
39,20,5,2,30,0.01,2268.46592806271,4.0515689847259,4.50867698538709,4.33750874832062,2.42413806915283
39,21,1,0,30,0.01,2266.60357757996,4.94476747705428,4.37080018508367,4.75609141465603,2.45714092254639
39,22,32,11,30,0.01,2274.90351206792,3.85978325751338,4.41843492771943,4.41539425407395,2.46013998985291
39,23,11,4,30,0.01,2268.63750459347,1.90482376884101,4.56313944669224,4.57477753986274,2.53714513778687
39,24,28,9,30,0.01,2269.06340416668,4.54757356021593,4.59216579316908,5.00994874472563,2.51114392280579
39,25,17,6,30,0.01,2271.70381390913,1.49096721027681,5.1429817621296,5.04017311567567,2.4421398639679
39,26,23,8,30,0.01,2270.4990957435,4.41984620927842,4.53608178915975,5.50659353339252,2.43713998794556
39,27,1,0,30,0.01,2272.77382253229,5.16803945314358,4.41482674015255,4.6246241518734,2.44813990592957
39,28,25,8,30,0.01,2270.51177122631,1.85615245724556,4.63774982329978,5.06023260830857,2.42913889884949
39,29,1,0,30,0.01,2281.89450725136,4.49982148423752,4.55153324928448,5.41074369637518,2.39913702011108
39,30,6,2,30,0.01,2268.20936804738,5.07471351808192,4.92951655689488,4.7472765922069,2.43113899230957
78,1,1,0,30,0.01,2254.97642246424,1.29812273835407,4.55708996089929,4.28561183298741,3.75321483612061
78,2,1,0,30,0.01,2253.56934667253,2.71997477166872,4.48068555321396,4.25205974539523,3.75721502304077
78,3,38,13,30,0.01,2250.35407028851,2.5239043171909,4.24169341078551,4.3343903150254,3.90922403335571
78,4,26,9,30,0.01,2249.90836588036,3.57427367524824,4.3531568468449,4.35071129654292,3.71621298789978
78,5,11,4,30,0.001,2251.1348893157,4.5262248946982,3.79438130699986,4.2705053636896,3.8052179813385
78,6,1,0,30,0.01,2250.43228601016,4.52793054956956,4.40541035830981,4.5658483500859,3.71721291542053
78,7,8,3,30,0.001,2284.19579510731,3.02719888149853,5.22365076215438,4.38174946481173,3.78421592712402
78,8,12,4,30,0.01,2263.06818368122,2.05063710575218,4.72010137702141,4.50575986408674,3.72721409797668
78,9,11,4,30,0.01,2254.22071323252,6.14545389485653,4.53954980298833,4.15308934245234,3.75421404838562
78,10,20,7,30,0.001,2250.44502611086,2.31744429056421,4.6261525810673,4.60807713444345,3.88722205162048
78,11,2,1,30,1e-05,2250.29523906001,2.16575421422235,5.38673011330878,4.72557316432259,3.76121520996094
78,12,6,2,30,0.001,2259.7964278396,4.83046265571184,5.42619609543947,4.60431176830051,3.71321201324463
78,13,1,0,30,0.01,2250.45585126635,3.22938886122141,4.40737394320043,4.57195715920695,3.72721409797668
78,14,2,1,30,0.01,2252.19917173375,2.02360605025533,5.78288298635869,4.64545011736335,3.74921417236328
78,15,19,6,30,0.01,2248.41153617499,2.92036518891039,4.81208399197818,4.70917621122381,3.71821308135986
78,16,3,1,30,1e-04,2253.2562276248,3.09741675220382,5.58304338566568,4.39654405857073,3.838219165802
78,17,1,0,30,0.01,2248.09042446703,3.85037716703481,4.811653388673,4.30173153288758,3.71721196174622
78,18,5,2,30,0.001,2252.43113747028,3.76931446904141,4.85475796267336,4.67681048561444,3.7232129573822
78,19,20,7,30,0.001,2253.58587304116,2.77460716547312,4.19107642221414,4.39685273255902,3.66620993614197
78,20,6,2,30,0.01,2267.64274234379,2.92492507418926,4.45234709144459,4.50924028046625,3.76521492004395
