"SamplingSize","AvgSampleDistance","Dis_ConfInteval_95%","ValidError(%)","ValidError_ConfInteval_95%","GeneralizedError(%)","Error_ConfInteval_95%","ASEMeanError(%)","ASEError_ConfInteval_95%","ModelTime(S)","MTime_ConfInteval_95%"
"39","2270.41779706431","1.43405467122977","3.88337551207421","0.61535611546422","4.82378445582987","0.187501690792504","4.99642423829939","0.125579353329783","2.48340128969263","0.0256918343538429"
"78","2252.62427812112","1.66133980648386","3.355078916099","0.371353834388621","4.66280550525806","0.146848361829322","4.48540538314218","0.0588165190179462","3.75628894346732","0.021736617539459"
"117","2234.20771903873","1.60314657408902","3.55171181998382","0.296463007118919","4.37101923006909","0.0854285657686812","4.3430699366509","0.0966921685391412","4.61004927328655","0.033718572116935"
"156","2217.53635347179","1.51708611081881","3.4585960194342","0.264308189320502","4.21159597064424","0.0876170140498807","4.19567973458527","0.102222163873236","4.31432112941035","0.0253319027656778"
"","","","","","","","","","",""
"Distance with Testing Error","","","","","","","","","",""
"Pearson's correlation","0.993916253858388","","","","","","","","",""
"SpearMan's correlation","1","","","","","","","","",""
"Validation with Testing Error","","","","","","","","","",""
"Pearson's correlation","0.534384985697116","","","","","","","","",""
"SpearMan's correlation","0.4","","","","","","","","",""
