"SamplingSize","AvgSampleDistance","Dis_ConfInteval_95%","ValidError(%)","ValidError_ConfInteval_95%","GeneralizedError(%)","Error_ConfInteval_95%","ASEMeanError(%)","ASEError_ConfInteval_95%","ModelTime(S)","MTime_ConfInteval_95%"
"16","560.072666666653","0.608859931443551","2.56217117180805","0.842321944197119","17.2606155561783","3.74371961179747","12.1032202864251","1.86586505120526","1.04543013925906","0.0585236320852563"
"32","552.71679438053","0.495073659148919","4.72047512887993","0.847304536913925","8.97054125737488","0.992442600797268","8.58697628728355","0.288499867238554","2.13969377108983","0.0991192333577188"
"48","545.141304347879","0.496692587658987","2.96092963923212","0.567232024848973","6.08977830485149","0.435463501132965","8.2652947959248","0.21377349422143","3.29618837152209","0.125676198885276"
"64","538.167943805883","0.580417273164549","2.37435937895947","0.495105396427154","4.25944697518953","0.4379518433197","7.73705225181363","0.211595541511946","4.19005448729904","0.204227923928848"
"80","531.321428571428","0.561367642944479","2.05733849127184","0.440106362455656","2.87097396472018","0.475473669207612","7.79347230808098","0.14403138694236","4.07427013361896","0.180424334488338"
"","","","","","","","","","",""
"Distance with Testing Error","","","","","","","","","",""
"Pearson's correlation","0.932237172520681","","","","","","","","",""
"SpearMan's correlation","1","","","","","","","","",""
"Validation with Testing Error","","","","","","","","","",""
"Pearson's correlation","0.201193434913161","","","","","","","","",""
"SpearMan's correlation","0.7","","","","","","","","",""
