Solver,SeqSOR,CGSolver,BiCGSTABSolver,LoopSolver,SeqGS,GradientSolver,Precon,cells,post,pre,performance
1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0,5.0,2.0,7319.55857142857
1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,50.0,0.0,1.0,13218.689285714287
1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,51.0,4.0,0.0,7655.855357142856
1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,52.0,1.0,2.0,11976.664285714285
1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,53.0,6.0,2.0,9882.7925
1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,51.0,2.0,2.0,9154.703928571429
1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,53.0,2.0,1.0,10050.642500000002
1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,51.0,0.0,1.0,11569.489285714286
1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,51.0,5.0,3.0,9130.739642857143
1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,55.0,3.0,2.0,10580.721428571429
1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,50.0,1.0,3.0,9600.6725
1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,50.0,5.0,4.0,7374.263214285714
1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,50.0,1.0,2.0,9632.08392857143
1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,52.0,1.0,4.0,12330.353571428572
1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,53.0,2.0,0.0,10082.863571428572
1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,53.0,5.0,3.0,10800.989285714288
1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,50.0,6.0,0.0,6634.912499999998
1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,50.0,1.0,4.0,8753.800714285715
1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,53.0,6.0,4.0,7731.5153571428555
