gvn,instcombine,inline,jump_threading,simplifycfg,sccp,print_used_types,ipsccp,iv_users,licm,PERF
0,0,0,0,0,0,0,0,0,0,210.44
0,0,0,0,0,1,0,0,1,0,200.66
0,0,1,0,1,0,0,1,1,0,213.6033333
0,1,1,1,1,0,1,1,1,1,248.5833333
1,1,1,1,1,0,0,0,0,1,251.8033333
1,1,1,1,1,0,0,0,1,1,261.5733333
1,1,1,1,1,0,1,0,0,1,267.5933333
1,1,1,1,1,0,1,0,1,1,260.6933333
1,1,1,1,1,0,0,1,0,1,265.4233333
1,1,1,1,1,0,1,1,0,1,262.94
1,1,1,1,1,0,0,1,1,1,263.82
1,1,1,1,1,0,1,1,1,1,267.51
0,1,1,1,1,1,0,0,0,1,268.55
0,0,1,0,1,0,1,0,0,0,214.8866667
0,1,1,1,1,1,0,0,1,1,249.3433333
0,1,1,1,1,1,0,1,0,1,251.7866667
0,1,1,1,1,1,0,1,1,1,251.5233333
1,1,1,1,1,1,0,0,0,1,252.6833333
1,1,1,1,1,1,0,1,0,1,263.5866667
1,1,1,1,1,1,0,0,1,1,264.7433333
1,1,1,1,1,1,0,1,1,1,269.47
0,1,1,1,1,1,1,0,0,1,269.47
0,1,1,1,1,1,1,0,1,1,249.36
1,1,1,1,1,1,1,0,0,1,250.43
0,0,1,0,1,0,1,1,0,0,210.9966667
1,1,1,1,1,1,1,0,1,1,262.1133333
0,1,1,1,1,1,1,1,0,1,267.1733333
1,1,1,1,1,1,1,1,0,1,252.4466667
0,1,1,1,1,1,1,1,1,1,265.8166667
1,1,1,1,1,1,1,1,1,1,253.6733333
0,0,1,0,1,0,1,0,1,0,215.01
0,0,1,0,1,0,1,1,1,0,212.0533333
0,0,1,1,1,0,0,0,0,0,216.3733333
0,0,1,1,1,0,0,0,1,0,210.5066667
0,0,1,1,1,0,1,0,0,0,212.7133333
0,0,1,1,1,0,1,0,1,0,211.48
0,0,1,1,1,0,0,1,0,0,213.0966667
0,0,0,0,0,1,1,0,0,0,202.3866667
0,0,1,1,1,0,1,1,0,0,214.4066667
0,0,1,1,1,0,0,1,1,0,215.7333333
0,0,1,1,1,0,1,1,1,0,215.9466667
0,0,1,0,1,1,0,0,0,0,217.2366667
0,0,1,0,1,1,0,0,1,0,212.4433333
0,0,1,0,1,1,0,1,0,0,214.38
0,0,1,0,1,1,0,1,1,0,215.9433333
0,0,1,1,1,1,0,0,0,0,217.4666667
0,0,1,1,1,1,0,1,0,0,213.4066667
0,0,1,1,1,1,0,0,1,0,216.9233333
0,0,0,0,0,1,1,0,1,0,201.8966667
0,0,1,1,1,1,0,1,1,0,215.3666667
0,0,1,0,1,1,1,0,0,0,218.2333333
0,0,1,0,1,1,1,0,1,0,213
0,0,1,1,1,1,1,0,0,0,214.48
0,0,1,1,1,1,1,0,1,0,214.05
0,0,1,0,1,1,1,1,0,0,215.47
0,0,1,1,1,1,1,1,0,0,217.2933333
0,0,1,0,1,1,1,1,1,0,218.3233333
0,0,1,1,1,1,1,1,1,0,218.6233333
0,1,0,0,0,0,0,0,0,0,219.6366667
0,0,0,0,0,1,0,1,0,0,203.6366667
0,1,0,0,0,0,0,0,1,0,216.4033333
0,1,0,0,0,0,0,1,0,0,218.8166667
0,1,0,0,0,0,0,1,1,0,219.2833333
0,1,0,0,0,0,1,0,0,0,221.3766667
0,1,0,0,0,0,1,1,0,0,217.2866667
0,1,0,0,0,0,1,0,1,0,220.3966667
0,1,0,0,0,0,1,1,1,0,219.3866667
0,1,0,0,0,1,0,0,0,0,222.4333333
0,1,0,0,0,1,0,0,1,0,218.0966667
0,1,0,0,0,1,1,0,0,0,220.4233333
0,0,0,0,0,1,1,1,0,0,204.1766667
0,1,0,0,0,1,1,0,1,0,218.89
0,1,0,0,0,1,0,1,0,0,221.1666667
0,1,0,0,0,1,1,1,0,0,221.01
0,1,0,0,0,1,0,1,1,0,222.0866667
0,1,0,0,0,1,1,1,1,0,223.2966667
0,1,0,0,1,0,0,0,0,0,224.0733333
0,1,0,0,1,0,0,0,1,0,217.6966667
0,1,0,0,1,0,0,1,0,0,219.9666667
0,1,0,0,1,0,0,1,1,0,220.3866667
0,1,0,0,1,1,0,0,0,0,222.52
0,0,0,0,0,1,0,1,1,0,205.13
0,1,0,0,1,1,0,1,0,0,219.3333333
0,1,0,0,1,1,0,0,1,0,222.1866667
0,1,0,0,1,1,0,1,1,0,221.7266667
0,1,0,0,1,0,1,0,0,0,224.1766667
0,1,0,0,1,0,1,0,1,0,218.5633333
0,1,0,0,1,1,1,0,0,0,220.5733333
0,1,0,0,1,1,1,0,1,0,220.21
0,1,0,0,1,0,1,1,0,0,222.2666667
0,1,0,0,1,1,1,1,0,0,221.26
0,1,0,0,1,0,1,1,1,0,223.07
0,0,0,0,0,1,1,1,1,0,205.99
0,1,0,0,1,1,1,1,1,0,223.2866667
0,1,1,0,0,0,0,0,0,0,224.95
