no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead_20,rc_lookahead_40,rc_lookahead_60,ref_1,ref_5,ref_9,PERF
0,0,0,0,0,0,0,1,0,0,1,0,0,268.72
0,0,1,0,0,0,0,1,0,0,1,0,0,268.017
0,0,0,1,0,0,0,1,0,0,1,0,0,276.103
0,0,1,1,0,0,0,1,0,0,1,0,0,275.427
0,1,0,0,0,0,0,1,0,0,1,0,0,260.267
0,1,0,1,0,0,0,1,0,0,1,0,0,266.483
0,1,1,0,0,0,0,1,0,0,1,0,0,259.807
0,1,1,1,0,0,0,1,0,0,1,0,0,266.19
0,0,0,0,0,0,1,1,0,0,1,0,0,268.557
0,0,1,0,0,0,1,1,0,0,1,0,0,267.853
0,1,0,0,0,0,1,1,0,0,1,0,0,260.41
0,1,1,0,0,0,1,1,0,0,1,0,0,259.903
0,0,0,1,0,0,1,1,0,0,1,0,0,275.92
0,1,0,1,0,0,1,1,0,0,1,0,0,266.527
0,0,1,1,0,0,1,1,0,0,1,0,0,275.373
0,1,1,1,0,0,1,1,0,0,1,0,0,266.113
0,0,0,0,0,1,0,1,0,0,1,0,0,268.773
0,0,1,0,0,1,0,1,0,0,1,0,0,268.17
0,0,0,1,0,1,0,1,0,0,1,0,0,276.03
0,0,1,1,0,1,0,1,0,0,1,0,0,275.69
0,0,0,0,0,1,1,1,0,0,1,0,0,268.603
0,0,0,1,0,1,1,1,0,0,1,0,0,275.957
0,0,1,0,0,1,1,1,0,0,1,0,0,268.11
0,0,1,1,0,1,1,1,0,0,1,0,0,275.31
0,1,0,0,0,1,0,1,0,0,1,0,0,260.48
0,1,1,0,0,1,0,1,0,0,1,0,0,259.963
0,1,0,0,0,1,1,1,0,0,1,0,0,260.38
0,1,1,0,0,1,1,1,0,0,1,0,0,259.84
0,1,0,1,0,1,0,1,0,0,1,0,0,266.67
0,1,0,1,0,1,1,1,0,0,1,0,0,266.51
0,1,1,1,0,1,0,1,0,0,1,0,0,266.22
0,1,1,1,0,1,1,1,0,0,1,0,0,266.273
0,0,0,0,1,0,0,1,0,0,1,0,0,305.4
0,0,1,0,1,0,0,1,0,0,1,0,0,304.9
0,0,0,1,1,0,0,1,0,0,1,0,0,310.58
0,0,1,1,1,0,0,1,0,0,1,0,0,310.177
0,1,0,0,1,0,0,1,0,0,1,0,0,295.47
0,1,0,1,1,0,0,1,0,0,1,0,0,299.66
0,1,1,0,1,0,0,1,0,0,1,0,0,295.367
0,1,1,1,1,0,0,1,0,0,1,0,0,299.637
0,0,0,0,1,1,0,1,0,0,1,0,0,305.26
0,0,1,0,1,1,0,1,0,0,1,0,0,304.967
0,1,0,0,1,1,0,1,0,0,1,0,0,295.507
0,1,1,0,1,1,0,1,0,0,1,0,0,295.257
0,0,0,1,1,1,0,1,0,0,1,0,0,310.52
0,1,0,1,1,1,0,1,0,0,1,0,0,299.77
0,0,1,1,1,1,0,1,0,0,1,0,0,310.153
0,1,1,1,1,1,0,1,0,0,1,0,0,299.637
0,0,0,0,1,0,1,1,0,0,1,0,0,305.283
